,lattgt1,lattgt2,lontgt1,lontgt2,vartgt,auc,auc_NN
0,41.6548,41.6575,-87.608,-87.6045,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.8557,0.8138
1,41.6548,41.6575,-87.608,-87.6045,HOMICIDE-ASSAULT-BATTERY,0.8284,0.8322
2,41.6548,41.6575,-87.608,-87.6045,VAR,0.8117,0.7628
3,41.7432,41.746,-87.6538,-87.6502,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9749,0.7646
4,41.7432,41.746,-87.6538,-87.6502,HOMICIDE-ASSAULT-BATTERY,0.9149,0.6312
5,41.7432,41.746,-87.6538,-87.6502,VAR,0.9057,0.7269
6,41.757,41.7598,-87.6573,-87.6538,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9524,0.739
7,41.757,41.7598,-87.6573,-87.6538,HOMICIDE-ASSAULT-BATTERY,0.9898,0.7122
8,41.757,41.7598,-87.6573,-87.6538,VAR,0.8767,0.6347
9,41.7736,41.7764,-87.6538,-87.6502,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9527,0.7741
10,41.7736,41.7764,-87.6538,-87.6502,HOMICIDE-ASSAULT-BATTERY,0.933,0.7565
11,41.7736,41.7764,-87.6538,-87.6502,VAR,0.9162,0.6818
12,41.7819,41.7847,-87.5975,-87.594,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9453,0.7914
13,41.7819,41.7847,-87.5975,-87.594,HOMICIDE-ASSAULT-BATTERY,0.9744,0.7056
14,41.7819,41.7847,-87.5975,-87.594,VAR,0.8709,0.8081
15,41.8261,41.8289,-87.6186,-87.6151,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9549,0.8002
16,41.8261,41.8289,-87.6186,-87.6151,HOMICIDE-ASSAULT-BATTERY,0.9404,0.6208
17,41.8261,41.8289,-87.6186,-87.6151,VAR,0.893,0.825
18,41.8814,41.8842,-87.7452,-87.7417,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9553,0.7721
19,41.8814,41.8842,-87.7452,-87.7417,HOMICIDE-ASSAULT-BATTERY,0.9694,0.7741
20,41.8814,41.8842,-87.7452,-87.7417,VAR,0.8968,0.8242
21,41.8814,41.8842,-87.6292,-87.6256,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9388,0.5236
22,41.8814,41.8842,-87.6292,-87.6256,HOMICIDE-ASSAULT-BATTERY,0.9283,0.6723
23,41.8814,41.8842,-87.6292,-87.6256,VAR,0.9432,0.5105
24,41.909,41.9118,-87.7065,-87.703,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9027,0.7145
25,41.909,41.9118,-87.7065,-87.703,HOMICIDE-ASSAULT-BATTERY,0.9789,0.7621
26,41.909,41.9118,-87.7065,-87.703,VAR,0.9201,0.629
27,41.9256,41.9284,-87.7382,-87.7347,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9388,0.7143
28,41.9256,41.9284,-87.7382,-87.7347,HOMICIDE-ASSAULT-BATTERY,0.9661,0.7168
29,41.9256,41.9284,-87.7382,-87.7347,VAR,0.8883,0.6869
30,41.9809,41.9837,-87.6573,-87.6538,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.9897,0.7254
31,41.9809,41.9837,-87.6573,-87.6538,HOMICIDE-ASSAULT-BATTERY,0.9898,0.7878
32,41.9809,41.9837,-87.6573,-87.6538,VAR,0.8097,0.7017
