index,auc,auc_rnn,ratio,increase
1,0.8331,0.7328,1.136872270742358,0.13687227074235797
2,0.9442,0.7357,1.2834035612341987,0.28340356123419874
3,0.8858,0.7359,1.2036961543688,0.20369615436880006
4,0.9898,0.7471,1.3248561102931335,0.32485611029313355
5,0.8539,0.7469,1.1432588030526174,0.1432588030526174
6,0.8414,0.8089,1.0401780195326988,0.04017801953269884
7,0.7718,0.8083,0.9548434987009774,-0.0451565012990226
8,0.9392,0.843,1.1141162514827996,0.11411625148279958
9,0.8993,0.8191,1.097912342815285,0.09791234281528505
10,0.9796,0.7431,1.318261337639618,0.31826133763961795
11,0.8613,0.7492,1.1496262680192204,0.1496262680192204
12,0.8275,0.7065,1.1712668082094833,0.17126680820948326
13,0.8112,0.6214,1.3054393305439331,0.30543933054393313
14,0.8584,0.7951,1.0796126273424727,0.07961262734247265
15,0.8139,0.7602,1.0706393054459353,0.07063930544593533
16,0.869,0.7897,1.1004178802076738,0.10041788020767384
17,0.8769,0.7404,1.1843598055105349,0.18435980551053488
18,0.884,0.8012,1.1033449825262107,0.10334498252621072
19,0.8668,0.8352,1.0378352490421456,0.037835249042145636
20,0.7882,0.6898,1.142650043490867,0.14265004349086707
21,0.828,0.7682,1.0778443113772456,0.07784431137724557
22,0.8117,0.726,1.1180440771349862,0.11804407713498621
23,0.8425,0.7352,1.1459466811751906,0.1459466811751906
24,0.8011,0.8092,0.9899901136925359,-0.010009886307464133
25,0.9524,0.6725,1.4162081784386618,0.41620817843866176
26,0.9898,0.8158,1.2132875704829615,0.21328757048296154
27,0.8767,0.7569,1.1582771832474568,0.15827718324745677
28,0.9336,0.7972,1.1710988459608629,0.1710988459608629
29,0.9049,0.7977,1.1343863607872635,0.13438636078726351
30,0.8575,0.7808,1.0982325819672132,0.09823258196721318
31,0.8143,0.7495,1.086457638425617,0.08645763842561704
32,0.8277,0.7229,1.14497164199751,0.14497164199751
33,0.8402,0.7642,1.0994504056529704,0.09945040565297036
34,0.8429,0.8369,1.007169315330386,0.007169315330386006
35,0.922,0.7234,1.2745369090406413,0.2745369090406413
36,0.8467,0.6974,1.2140808718095784,0.21408087180957835
37,0.806,0.6948,1.1600460564191135,0.1600460564191135
38,0.9145,0.7922,1.1543802070184297,0.1543802070184297
