,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,lat1,lat2,lon1,lon2
41.6893#-87.6168,43,2382,4715,41.687940000000005,41.6907,-87.61859,-87.61508
41.6893#-87.6133,44,2383,4716,41.687940000000005,41.6907,-87.61508,-87.61156
41.6921#-87.6661,47,2386,4717,41.6907,41.69347,-87.66784,-87.66431999999999
41.6921#-87.6626,48,2387,4718,41.6907,41.69347,-87.66431999999999,-87.6608
41.6921#-87.6520,49,2388,4719,41.6907,41.69347,-87.65377,-87.65025
41.6921#-87.6415,50,2389,4720,41.6907,41.69347,-87.64322,-87.6397
41.6921#-87.6274,51,2390,4721,41.6907,41.69347,-87.62915,-87.62563
41.6921#-87.6239,52,2391,4722,41.6907,41.69347,-87.62563,-87.62210999999999
41.6921#-87.6204,53,2392,4723,41.6907,41.69347,-87.62210999999999,-87.61859
41.6921#-87.6133,54,2393,4724,41.6907,41.69347,-87.61508,-87.61156
41.6949#-87.6274,56,2395,4725,41.69347,41.69623,-87.62915,-87.62563
41.6949#-87.6239,57,2396,4726,41.69347,41.69623,-87.62563,-87.62210999999999
41.6949#-87.6204,58,2397,4727,41.69347,41.69623,-87.62210999999999,-87.61859
41.6949#-87.6133,59,2398,4728,41.69347,41.69623,-87.61508,-87.61156
41.6976#-87.6309,62,2401,4729,41.69623,41.69899,-87.63266,-87.62915
41.6976#-87.6274,63,2402,4730,41.69623,41.69899,-87.62915,-87.62563
41.6976#-87.6204,64,2403,4731,41.69623,41.69899,-87.62210999999999,-87.61859
41.7004#-87.6309,67,2406,4732,41.69899,41.70176,-87.63266,-87.62915
41.7004#-87.6274,68,2407,4733,41.69899,41.70176,-87.62915,-87.62563
41.7004#-87.6239,69,2408,4734,41.69899,41.70176,-87.62563,-87.62210999999999
41.7004#-87.6204,70,2409,4735,41.69899,41.70176,-87.62210999999999,-87.61859
41.7004#-87.6168,71,2410,4736,41.69899,41.70176,-87.61859,-87.61508
41.7004#-87.6133,72,2411,4737,41.69899,41.70176,-87.61508,-87.61156
41.7031#-87.6274,73,2412,4738,41.70176,41.70452,-87.62915,-87.62563
41.7031#-87.6239,74,2413,4739,41.70176,41.70452,-87.62563,-87.62210999999999
41.7031#-87.5641,75,2414,4740,41.70176,41.70452,-87.56583,-87.56231
41.7031#-87.5359,76,2415,4741,41.70176,41.70452,-87.53769,-87.53416999999999
41.7059#-87.6520,80,2419,4742,41.70452,41.70729,-87.65377,-87.65025
41.7059#-87.6485,81,2420,4743,41.70452,41.70729,-87.65025,-87.64673
41.7059#-87.6415,83,2422,4744,41.70452,41.70729,-87.64322,-87.6397
41.7059#-87.6274,84,2423,4745,41.70452,41.70729,-87.62915,-87.62563
41.7059#-87.6239,85,2424,4746,41.70452,41.70729,-87.62563,-87.62210999999999
41.7059#-87.6204,86,2425,4747,41.70452,41.70729,-87.62210999999999,-87.61859
41.7087#-87.6098,91,2430,4748,41.70729,41.71005,-87.61156,-87.60804
41.7087#-87.6028,92,2431,4749,41.70729,41.71005,-87.60452,-87.60101
41.7087#-87.5606,94,2433,4750,41.70729,41.71005,-87.56231,-87.55879
41.7114#-87.6204,96,2435,4751,41.71005,41.71281,-87.62210999999999,-87.61859
41.7197#-87.6415,102,2441,4752,41.718340000000005,41.721109999999996,-87.64322,-87.6397
41.7197#-87.6204,103,2442,4753,41.718340000000005,41.721109999999996,-87.62210999999999,-87.61859
41.7197#-87.5359,105,2444,4754,41.718340000000005,41.721109999999996,-87.53769,-87.53416999999999
41.7225#-87.6626,106,2445,4755,41.721109999999996,41.72387,-87.66431999999999,-87.6608
41.7225#-87.6590,107,2446,4756,41.721109999999996,41.72387,-87.6608,-87.65729
41.7225#-87.6555,108,2447,4757,41.721109999999996,41.72387,-87.65729,-87.65377
41.7225#-87.6274,111,2450,4758,41.721109999999996,41.72387,-87.62915,-87.62563
41.7225#-87.6239,112,2451,4759,41.721109999999996,41.72387,-87.62563,-87.62210999999999
41.7225#-87.5781,117,2456,4760,41.721109999999996,41.72387,-87.5799,-87.57638
41.7225#-87.5746,118,2457,4761,41.721109999999996,41.72387,-87.57638,-87.57285999999999
41.7253#-87.6590,120,2459,4762,41.72387,41.72663,-87.6608,-87.65729
41.7253#-87.6239,123,2462,4763,41.72387,41.72663,-87.62563,-87.62210999999999
41.7253#-87.5676,124,2463,4764,41.72387,41.72663,-87.56935,-87.56583
41.7280#-87.6626,126,2465,4765,41.72663,41.7294,-87.66431999999999,-87.6608
41.7280#-87.6309,128,2467,4766,41.72663,41.7294,-87.63266,-87.62915
41.7280#-87.6063,129,2468,4767,41.72663,41.7294,-87.60804,-87.60452
41.7280#-87.5993,130,2469,4768,41.72663,41.7294,-87.60101,-87.59749000000001
41.7280#-87.5957,131,2470,4769,41.72663,41.7294,-87.59749000000001,-87.59397
41.7280#-87.5852,132,2471,4770,41.72663,41.7294,-87.58693000000001,-87.58341999999999
41.7280#-87.5500,134,2473,4771,41.72663,41.7294,-87.55176,-87.54824
41.7308#-87.6626,136,2475,4772,41.7294,41.73216,-87.66431999999999,-87.6608
41.7308#-87.6590,137,2476,4773,41.7294,41.73216,-87.6608,-87.65729
41.7308#-87.6555,138,2477,4774,41.7294,41.73216,-87.65729,-87.65377
41.7308#-87.6520,139,2478,4775,41.7294,41.73216,-87.65377,-87.65025
41.7308#-87.6415,140,2479,4776,41.7294,41.73216,-87.64322,-87.6397
41.7308#-87.6379,141,2480,4777,41.7294,41.73216,-87.6397,-87.63618000000001
41.7308#-87.6063,143,2482,4778,41.7294,41.73216,-87.60804,-87.60452
41.7308#-87.6028,144,2483,4779,41.7294,41.73216,-87.60452,-87.60101
41.7308#-87.5535,145,2484,4780,41.7294,41.73216,-87.55528000000001,-87.55176
41.7308#-87.5500,146,2485,4781,41.7294,41.73216,-87.55176,-87.54824
41.7308#-87.5465,147,2486,4782,41.7294,41.73216,-87.54824,-87.54472
41.7335#-87.6098,150,2489,4783,41.73216,41.73492,-87.61156,-87.60804
41.7335#-87.6063,151,2490,4784,41.73216,41.73492,-87.60804,-87.60452
41.7335#-87.5852,153,2492,4785,41.73216,41.73492,-87.58693000000001,-87.58341999999999
41.7335#-87.5570,154,2493,4786,41.73216,41.73492,-87.55879,-87.55528000000001
41.7335#-87.5535,155,2494,4787,41.73216,41.73492,-87.55528000000001,-87.55176
41.7335#-87.5500,156,2495,4788,41.73216,41.73492,-87.55176,-87.54824
41.7363#-87.6626,160,2499,4789,41.73492,41.73769,-87.66431999999999,-87.6608
41.7363#-87.6590,161,2500,4790,41.73492,41.73769,-87.6608,-87.65729
41.7363#-87.6555,162,2501,4791,41.73492,41.73769,-87.65729,-87.65377
41.7363#-87.6520,163,2502,4792,41.73492,41.73769,-87.65377,-87.65025
41.7363#-87.6485,164,2503,4793,41.73492,41.73769,-87.65025,-87.64673
41.7363#-87.6450,165,2504,4794,41.73492,41.73769,-87.64673,-87.64322
41.7363#-87.6379,167,2506,4795,41.73492,41.73769,-87.6397,-87.63618000000001
41.7363#-87.6274,169,2508,4796,41.73492,41.73769,-87.62915,-87.62563
41.7363#-87.6239,170,2509,4797,41.73492,41.73769,-87.62563,-87.62210999999999
41.7363#-87.6063,173,2512,4798,41.73492,41.73769,-87.60804,-87.60452
41.7363#-87.6028,174,2513,4799,41.73492,41.73769,-87.60452,-87.60101
41.7363#-87.5852,177,2516,4800,41.73492,41.73769,-87.58693000000001,-87.58341999999999
41.7363#-87.5746,179,2518,4801,41.73492,41.73769,-87.57638,-87.57285999999999
41.7363#-87.5606,180,2519,4802,41.73492,41.73769,-87.56231,-87.55879
41.7363#-87.5570,181,2520,4803,41.73492,41.73769,-87.55879,-87.55528000000001
41.7363#-87.5535,182,2521,4804,41.73492,41.73769,-87.55528000000001,-87.55176
41.7363#-87.5500,183,2522,4805,41.73492,41.73769,-87.55176,-87.54824
41.7363#-87.5465,184,2523,4806,41.73492,41.73769,-87.54824,-87.54472
41.7391#-87.6520,187,2526,4807,41.73769,41.74045,-87.65377,-87.65025
41.7391#-87.6450,188,2527,4808,41.73769,41.74045,-87.64673,-87.64322
41.7391#-87.6379,189,2528,4809,41.73769,41.74045,-87.6397,-87.63618000000001
41.7391#-87.6063,190,2529,4810,41.73769,41.74045,-87.60804,-87.60452
41.7391#-87.6028,191,2530,4811,41.73769,41.74045,-87.60452,-87.60101
41.7391#-87.5641,194,2533,4812,41.73769,41.74045,-87.56583,-87.56231
41.7391#-87.5606,195,2534,4813,41.73769,41.74045,-87.56231,-87.55879
41.7391#-87.5570,196,2535,4814,41.73769,41.74045,-87.55879,-87.55528000000001
41.7391#-87.5535,197,2536,4815,41.73769,41.74045,-87.55528000000001,-87.55176
41.7391#-87.5500,198,2537,4816,41.73769,41.74045,-87.55176,-87.54824
41.7418#-87.6661,199,2538,4817,41.74045,41.74322,-87.66784,-87.66431999999999
41.7418#-87.6626,200,2539,4818,41.74045,41.74322,-87.66431999999999,-87.6608
41.7418#-87.6555,201,2540,4819,41.74045,41.74322,-87.65729,-87.65377
41.7418#-87.6520,202,2541,4820,41.74045,41.74322,-87.65377,-87.65025
41.7418#-87.6485,203,2542,4821,41.74045,41.74322,-87.65025,-87.64673
41.7418#-87.6450,204,2543,4822,41.74045,41.74322,-87.64673,-87.64322
41.7418#-87.6063,207,2546,4823,41.74045,41.74322,-87.60804,-87.60452
41.7418#-87.6028,208,2547,4824,41.74045,41.74322,-87.60452,-87.60101
41.7418#-87.5606,211,2550,4825,41.74045,41.74322,-87.56231,-87.55879
41.7418#-87.5535,212,2551,4826,41.74045,41.74322,-87.55528000000001,-87.55176
41.7446#-87.6661,214,2553,4827,41.74322,41.745979999999996,-87.66784,-87.66431999999999
41.7446#-87.6626,215,2554,4828,41.74322,41.745979999999996,-87.66431999999999,-87.6608
41.7446#-87.6590,216,2555,4829,41.74322,41.745979999999996,-87.6608,-87.65729
41.7446#-87.6555,217,2556,4830,41.74322,41.745979999999996,-87.65729,-87.65377
41.7446#-87.6520,218,2557,4831,41.74322,41.745979999999996,-87.65377,-87.65025
41.7446#-87.6450,219,2558,4832,41.74322,41.745979999999996,-87.64673,-87.64322
41.7446#-87.6133,220,2559,4833,41.74322,41.745979999999996,-87.61508,-87.61156
41.7446#-87.6063,221,2560,4834,41.74322,41.745979999999996,-87.60804,-87.60452
41.7446#-87.6028,222,2561,4835,41.74322,41.745979999999996,-87.60452,-87.60101
41.7446#-87.5993,223,2562,4836,41.74322,41.745979999999996,-87.60101,-87.59749000000001
41.7446#-87.5957,224,2563,4837,41.74322,41.745979999999996,-87.59749000000001,-87.59397
41.7446#-87.5746,227,2566,4838,41.74322,41.745979999999996,-87.57638,-87.57285999999999
41.7446#-87.5606,231,2570,4839,41.74322,41.745979999999996,-87.56231,-87.55879
41.7446#-87.5535,233,2572,4840,41.74322,41.745979999999996,-87.55528000000001,-87.55176
41.7446#-87.5500,234,2573,4841,41.74322,41.745979999999996,-87.55176,-87.54824
41.7446#-87.5465,235,2574,4842,41.74322,41.745979999999996,-87.54824,-87.54472
41.7474#-87.6837,237,2576,4843,41.745979999999996,41.748740000000005,-87.68543000000001,-87.68191
41.7474#-87.6696,238,2577,4844,41.745979999999996,41.748740000000005,-87.67135999999999,-87.66784
41.7474#-87.6661,239,2578,4845,41.745979999999996,41.748740000000005,-87.66784,-87.66431999999999
41.7474#-87.6626,240,2579,4846,41.745979999999996,41.748740000000005,-87.66431999999999,-87.6608
41.7474#-87.6590,241,2580,4847,41.745979999999996,41.748740000000005,-87.6608,-87.65729
41.7474#-87.6555,242,2581,4848,41.745979999999996,41.748740000000005,-87.65729,-87.65377
41.7474#-87.6520,243,2582,4849,41.745979999999996,41.748740000000005,-87.65377,-87.65025
41.7474#-87.6485,244,2583,4850,41.745979999999996,41.748740000000005,-87.65025,-87.64673
41.7474#-87.6450,245,2584,4851,41.745979999999996,41.748740000000005,-87.64673,-87.64322
41.7474#-87.6344,246,2585,4852,41.745979999999996,41.748740000000005,-87.63618000000001,-87.63266
41.7474#-87.6133,249,2588,4853,41.745979999999996,41.748740000000005,-87.61508,-87.61156
41.7474#-87.6063,251,2590,4854,41.745979999999996,41.748740000000005,-87.60804,-87.60452
41.7474#-87.6028,252,2591,4855,41.745979999999996,41.748740000000005,-87.60452,-87.60101
41.7474#-87.5993,253,2592,4856,41.745979999999996,41.748740000000005,-87.60101,-87.59749000000001
41.7474#-87.5957,254,2593,4857,41.745979999999996,41.748740000000005,-87.59749000000001,-87.59397
41.7474#-87.5852,255,2594,4858,41.745979999999996,41.748740000000005,-87.58693000000001,-87.58341999999999
41.7474#-87.5641,257,2596,4859,41.745979999999996,41.748740000000005,-87.56583,-87.56231
41.7474#-87.5535,259,2598,4860,41.745979999999996,41.748740000000005,-87.55528000000001,-87.55176
41.7474#-87.5500,260,2599,4861,41.745979999999996,41.748740000000005,-87.55176,-87.54824
41.7501#-87.7224,261,2600,4862,41.748740000000005,41.751509999999996,-87.72412,-87.7206
41.7501#-87.7083,262,2601,4863,41.748740000000005,41.751509999999996,-87.71005,-87.70653
41.7501#-87.6837,264,2603,4864,41.748740000000005,41.751509999999996,-87.68543000000001,-87.68191
41.7501#-87.6731,265,2604,4865,41.748740000000005,41.751509999999996,-87.67487,-87.67135999999999
41.7501#-87.6696,266,2605,4866,41.748740000000005,41.751509999999996,-87.67135999999999,-87.66784
41.7501#-87.6661,267,2606,4867,41.748740000000005,41.751509999999996,-87.66784,-87.66431999999999
41.7501#-87.6626,268,2607,4868,41.748740000000005,41.751509999999996,-87.66431999999999,-87.6608
41.7501#-87.6590,269,2608,4869,41.748740000000005,41.751509999999996,-87.6608,-87.65729
41.7501#-87.6555,270,2609,4870,41.748740000000005,41.751509999999996,-87.65729,-87.65377
41.7501#-87.6520,271,2610,4871,41.748740000000005,41.751509999999996,-87.65377,-87.65025
41.7501#-87.6485,272,2611,4872,41.748740000000005,41.751509999999996,-87.65025,-87.64673
41.7501#-87.6450,273,2612,4873,41.748740000000005,41.751509999999996,-87.64673,-87.64322
41.7501#-87.6415,274,2613,4874,41.748740000000005,41.751509999999996,-87.64322,-87.6397
41.7501#-87.6344,275,2614,4875,41.748740000000005,41.751509999999996,-87.63618000000001,-87.63266
41.7501#-87.6309,276,2615,4876,41.748740000000005,41.751509999999996,-87.63266,-87.62915
41.7501#-87.6274,277,2616,4877,41.748740000000005,41.751509999999996,-87.62915,-87.62563
41.7501#-87.6239,278,2617,4878,41.748740000000005,41.751509999999996,-87.62563,-87.62210999999999
41.7501#-87.6168,280,2619,4879,41.748740000000005,41.751509999999996,-87.61859,-87.61508
41.7501#-87.6133,281,2620,4880,41.748740000000005,41.751509999999996,-87.61508,-87.61156
41.7501#-87.6098,282,2621,4881,41.748740000000005,41.751509999999996,-87.61156,-87.60804
41.7501#-87.6063,283,2622,4882,41.748740000000005,41.751509999999996,-87.60804,-87.60452
41.7501#-87.6028,284,2623,4883,41.748740000000005,41.751509999999996,-87.60452,-87.60101
41.7501#-87.5993,285,2624,4884,41.748740000000005,41.751509999999996,-87.60101,-87.59749000000001
41.7501#-87.5957,286,2625,4885,41.748740000000005,41.751509999999996,-87.59749000000001,-87.59397
41.7501#-87.5922,287,2626,4886,41.748740000000005,41.751509999999996,-87.59397,-87.59045
41.7501#-87.5852,289,2628,4887,41.748740000000005,41.751509999999996,-87.58693000000001,-87.58341999999999
41.7501#-87.5817,290,2629,4888,41.748740000000005,41.751509999999996,-87.58341999999999,-87.5799
41.7501#-87.5746,291,2630,4889,41.748740000000005,41.751509999999996,-87.57638,-87.57285999999999
41.7501#-87.5711,292,2631,4890,41.748740000000005,41.751509999999996,-87.57285999999999,-87.56935
41.7501#-87.5676,293,2632,4891,41.748740000000005,41.751509999999996,-87.56935,-87.56583
41.7501#-87.5641,294,2633,4892,41.748740000000005,41.751509999999996,-87.56583,-87.56231
41.7501#-87.5606,295,2634,4893,41.748740000000005,41.751509999999996,-87.56231,-87.55879
41.7501#-87.5570,296,2635,4894,41.748740000000005,41.751509999999996,-87.55879,-87.55528000000001
41.7501#-87.5535,297,2636,4895,41.748740000000005,41.751509999999996,-87.55528000000001,-87.55176
41.7501#-87.5500,298,2637,4896,41.748740000000005,41.751509999999996,-87.55176,-87.54824
41.7529#-87.6731,299,2638,4897,41.751509999999996,41.75427,-87.67487,-87.67135999999999
41.7529#-87.6696,300,2639,4898,41.751509999999996,41.75427,-87.67135999999999,-87.66784
41.7529#-87.6661,301,2640,4899,41.751509999999996,41.75427,-87.66784,-87.66431999999999
41.7529#-87.6626,302,2641,4900,41.751509999999996,41.75427,-87.66431999999999,-87.6608
41.7529#-87.6590,303,2642,4901,41.751509999999996,41.75427,-87.6608,-87.65729
41.7529#-87.6555,304,2643,4902,41.751509999999996,41.75427,-87.65729,-87.65377
41.7529#-87.6520,305,2644,4903,41.751509999999996,41.75427,-87.65377,-87.65025
41.7529#-87.6485,306,2645,4904,41.751509999999996,41.75427,-87.65025,-87.64673
41.7529#-87.6450,307,2646,4905,41.751509999999996,41.75427,-87.64673,-87.64322
41.7529#-87.6415,308,2647,4906,41.751509999999996,41.75427,-87.64322,-87.6397
41.7529#-87.6344,309,2648,4907,41.751509999999996,41.75427,-87.63618000000001,-87.63266
41.7529#-87.6098,312,2651,4908,41.751509999999996,41.75427,-87.61156,-87.60804
41.7529#-87.6063,313,2652,4909,41.751509999999996,41.75427,-87.60804,-87.60452
41.7529#-87.6028,314,2653,4910,41.751509999999996,41.75427,-87.60452,-87.60101
41.7529#-87.5993,315,2654,4911,41.751509999999996,41.75427,-87.60101,-87.59749000000001
41.7529#-87.5852,316,2655,4912,41.751509999999996,41.75427,-87.58693000000001,-87.58341999999999
41.7529#-87.5817,317,2656,4913,41.751509999999996,41.75427,-87.58341999999999,-87.5799
41.7529#-87.5781,318,2657,4914,41.751509999999996,41.75427,-87.5799,-87.57638
41.7529#-87.5746,319,2658,4915,41.751509999999996,41.75427,-87.57638,-87.57285999999999
41.7529#-87.5676,321,2660,4916,41.751509999999996,41.75427,-87.56935,-87.56583
41.7529#-87.5641,322,2661,4917,41.751509999999996,41.75427,-87.56583,-87.56231
41.7529#-87.5606,323,2662,4918,41.751509999999996,41.75427,-87.56231,-87.55879
41.7529#-87.5570,324,2663,4919,41.751509999999996,41.75427,-87.55879,-87.55528000000001
41.7529#-87.5535,325,2664,4920,41.751509999999996,41.75427,-87.55528000000001,-87.55176
41.7529#-87.5500,326,2665,4921,41.751509999999996,41.75427,-87.55176,-87.54824
41.7557#-87.7399,327,2666,4922,41.75427,41.75704,-87.74171,-87.73819
41.7557#-87.6696,330,2669,4923,41.75427,41.75704,-87.67135999999999,-87.66784
41.7557#-87.6661,331,2670,4924,41.75427,41.75704,-87.66784,-87.66431999999999
41.7557#-87.6590,333,2672,4925,41.75427,41.75704,-87.6608,-87.65729
41.7557#-87.6555,334,2673,4926,41.75427,41.75704,-87.65729,-87.65377
41.7557#-87.6520,335,2674,4927,41.75427,41.75704,-87.65377,-87.65025
41.7557#-87.6485,336,2675,4928,41.75427,41.75704,-87.65025,-87.64673
41.7557#-87.6450,337,2676,4929,41.75427,41.75704,-87.64673,-87.64322
41.7557#-87.6415,338,2677,4930,41.75427,41.75704,-87.64322,-87.6397
41.7557#-87.6344,339,2678,4931,41.75427,41.75704,-87.63618000000001,-87.63266
41.7557#-87.6133,340,2679,4932,41.75427,41.75704,-87.61508,-87.61156
41.7557#-87.6098,341,2680,4933,41.75427,41.75704,-87.61156,-87.60804
41.7557#-87.6063,342,2681,4934,41.75427,41.75704,-87.60804,-87.60452
41.7557#-87.6028,343,2682,4935,41.75427,41.75704,-87.60452,-87.60101
41.7557#-87.5887,344,2683,4936,41.75427,41.75704,-87.59045,-87.58693000000001
41.7557#-87.5852,345,2684,4937,41.75427,41.75704,-87.58693000000001,-87.58341999999999
41.7557#-87.5817,346,2685,4938,41.75427,41.75704,-87.58341999999999,-87.5799
41.7557#-87.5781,347,2686,4939,41.75427,41.75704,-87.5799,-87.57638
41.7557#-87.5746,348,2687,4940,41.75427,41.75704,-87.57638,-87.57285999999999
41.7557#-87.5676,350,2689,4941,41.75427,41.75704,-87.56935,-87.56583
41.7557#-87.5641,351,2690,4942,41.75427,41.75704,-87.56583,-87.56231
41.7557#-87.5606,352,2691,4943,41.75427,41.75704,-87.56231,-87.55879
41.7557#-87.5570,353,2692,4944,41.75427,41.75704,-87.55879,-87.55528000000001
41.7557#-87.5535,354,2693,4945,41.75427,41.75704,-87.55528000000001,-87.55176
41.7557#-87.5500,355,2694,4946,41.75427,41.75704,-87.55176,-87.54824
41.7584#-87.6555,356,2695,4947,41.75704,41.7598,-87.65729,-87.65377
41.7584#-87.6450,357,2696,4948,41.75704,41.7598,-87.64673,-87.64322
41.7584#-87.6415,358,2697,4949,41.75704,41.7598,-87.64322,-87.6397
41.7584#-87.6344,359,2698,4950,41.75704,41.7598,-87.63618000000001,-87.63266
41.7584#-87.6309,360,2699,4951,41.75704,41.7598,-87.63266,-87.62915
41.7584#-87.6239,362,2701,4952,41.75704,41.7598,-87.62563,-87.62210999999999
41.7584#-87.6204,363,2702,4953,41.75704,41.7598,-87.62210999999999,-87.61859
41.7584#-87.6168,364,2703,4954,41.75704,41.7598,-87.61859,-87.61508
41.7584#-87.6133,365,2704,4955,41.75704,41.7598,-87.61508,-87.61156
41.7584#-87.6098,366,2705,4956,41.75704,41.7598,-87.61156,-87.60804
41.7584#-87.6063,367,2706,4957,41.75704,41.7598,-87.60804,-87.60452
41.7584#-87.5922,368,2707,4958,41.75704,41.7598,-87.59397,-87.59045
41.7584#-87.5887,369,2708,4959,41.75704,41.7598,-87.59045,-87.58693000000001
41.7584#-87.5852,370,2709,4960,41.75704,41.7598,-87.58693000000001,-87.58341999999999
41.7584#-87.5781,371,2710,4961,41.75704,41.7598,-87.5799,-87.57638
41.7584#-87.5746,372,2711,4962,41.75704,41.7598,-87.57638,-87.57285999999999
41.7584#-87.5711,373,2712,4963,41.75704,41.7598,-87.57285999999999,-87.56935
41.7584#-87.5676,374,2713,4964,41.75704,41.7598,-87.56935,-87.56583
41.7584#-87.5641,375,2714,4965,41.75704,41.7598,-87.56583,-87.56231
41.7584#-87.5606,376,2715,4966,41.75704,41.7598,-87.56231,-87.55879
41.7584#-87.5570,377,2716,4967,41.75704,41.7598,-87.55879,-87.55528000000001
41.7584#-87.5535,378,2717,4968,41.75704,41.7598,-87.55528000000001,-87.55176
41.7612#-87.7013,379,2718,4969,41.7598,41.76256,-87.70302,-87.6995
41.7612#-87.6872,383,2722,4970,41.7598,41.76256,-87.68894,-87.68543000000001
41.7612#-87.6837,384,2723,4971,41.7598,41.76256,-87.68543000000001,-87.68191
41.7612#-87.6801,385,2724,4972,41.7598,41.76256,-87.68191,-87.67839000000001
41.7612#-87.6731,386,2725,4973,41.7598,41.76256,-87.67487,-87.67135999999999
41.7612#-87.6696,387,2726,4974,41.7598,41.76256,-87.67135999999999,-87.66784
41.7612#-87.6661,388,2727,4975,41.7598,41.76256,-87.66784,-87.66431999999999
41.7612#-87.6626,389,2728,4976,41.7598,41.76256,-87.66431999999999,-87.6608
41.7612#-87.6590,390,2729,4977,41.7598,41.76256,-87.6608,-87.65729
41.7612#-87.6555,391,2730,4978,41.7598,41.76256,-87.65729,-87.65377
41.7612#-87.6520,392,2731,4979,41.7598,41.76256,-87.65377,-87.65025
41.7612#-87.6485,393,2732,4980,41.7598,41.76256,-87.65025,-87.64673
41.7612#-87.6450,394,2733,4981,41.7598,41.76256,-87.64673,-87.64322
41.7612#-87.6415,395,2734,4982,41.7598,41.76256,-87.64322,-87.6397
41.7612#-87.6309,396,2735,4983,41.7598,41.76256,-87.63266,-87.62915
41.7612#-87.6133,398,2737,4984,41.7598,41.76256,-87.61508,-87.61156
41.7612#-87.6098,399,2738,4985,41.7598,41.76256,-87.61156,-87.60804
41.7612#-87.6063,400,2739,4986,41.7598,41.76256,-87.60804,-87.60452
41.7612#-87.5922,401,2740,4987,41.7598,41.76256,-87.59397,-87.59045
41.7612#-87.5887,402,2741,4988,41.7598,41.76256,-87.59045,-87.58693000000001
41.7612#-87.5852,403,2742,4989,41.7598,41.76256,-87.58693000000001,-87.58341999999999
41.7612#-87.5817,404,2743,4990,41.7598,41.76256,-87.58341999999999,-87.5799
