,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,lat1,lat2,lon1,lon2
41.6562#-87.6133,0,2339,4678,41.65477,41.657540000000004,-87.61508,-87.61156
41.6562#-87.6063,1,2340,4679,41.65477,41.657540000000004,-87.60804,-87.60452
41.6727#-87.6415,3,2342,4680,41.67136,41.67412,-87.64322,-87.6397
41.6727#-87.6344,4,2343,4681,41.67136,41.67412,-87.63618000000001,-87.63266
41.6755#-87.6204,7,2346,4682,41.67412,41.67688,-87.62210999999999,-87.61859
41.6783#-87.6415,9,2348,4683,41.67688,41.67965,-87.64322,-87.6397
41.6783#-87.6379,10,2349,4684,41.67688,41.67965,-87.6397,-87.63618000000001
41.6783#-87.6344,11,2350,4685,41.67688,41.67965,-87.63618000000001,-87.63266
41.6783#-87.6309,12,2351,4686,41.67688,41.67965,-87.63266,-87.62915
41.6783#-87.6274,13,2352,4687,41.67688,41.67965,-87.62915,-87.62563
41.6783#-87.6239,14,2353,4688,41.67688,41.67965,-87.62563,-87.62210999999999
41.6783#-87.6204,15,2354,4689,41.67688,41.67965,-87.62210999999999,-87.61859
41.6783#-87.6168,16,2355,4690,41.67688,41.67965,-87.61859,-87.61508
41.6810#-87.6344,18,2357,4691,41.67965,41.68241,-87.63618000000001,-87.63266
41.6810#-87.6309,19,2358,4692,41.67965,41.68241,-87.63266,-87.62915
41.6810#-87.6274,20,2359,4693,41.67965,41.68241,-87.62915,-87.62563
41.6810#-87.6239,21,2360,4694,41.67965,41.68241,-87.62563,-87.62210999999999
41.6810#-87.6204,22,2361,4695,41.67965,41.68241,-87.62210999999999,-87.61859
41.6838#-87.6590,23,2362,4696,41.68241,41.685179999999995,-87.6608,-87.65729
41.6838#-87.6520,24,2363,4697,41.68241,41.685179999999995,-87.65377,-87.65025
41.6838#-87.6415,25,2364,4698,41.68241,41.685179999999995,-87.64322,-87.6397
41.6838#-87.6344,26,2365,4699,41.68241,41.685179999999995,-87.63618000000001,-87.63266
41.6838#-87.6309,27,2366,4700,41.68241,41.685179999999995,-87.63266,-87.62915
41.6838#-87.6274,28,2367,4701,41.68241,41.685179999999995,-87.62915,-87.62563
41.6838#-87.6239,29,2368,4702,41.68241,41.685179999999995,-87.62563,-87.62210999999999
41.6866#-87.6415,31,2370,4703,41.685179999999995,41.687940000000005,-87.64322,-87.6397
41.6866#-87.6344,32,2371,4704,41.685179999999995,41.687940000000005,-87.63618000000001,-87.63266
41.6866#-87.6309,33,2372,4705,41.685179999999995,41.687940000000005,-87.63266,-87.62915
41.6866#-87.6239,34,2373,4706,41.685179999999995,41.687940000000005,-87.62563,-87.62210999999999
41.6866#-87.6204,35,2374,4707,41.685179999999995,41.687940000000005,-87.62210999999999,-87.61859
41.6866#-87.6168,36,2375,4708,41.685179999999995,41.687940000000005,-87.61859,-87.61508
41.6866#-87.6133,37,2376,4709,41.685179999999995,41.687940000000005,-87.61508,-87.61156
41.6893#-87.6379,38,2377,4710,41.687940000000005,41.6907,-87.6397,-87.63618000000001
41.6893#-87.6309,39,2378,4711,41.687940000000005,41.6907,-87.63266,-87.62915
41.6893#-87.6274,40,2379,4712,41.687940000000005,41.6907,-87.62915,-87.62563
41.6893#-87.6239,41,2380,4713,41.687940000000005,41.6907,-87.62563,-87.62210999999999
41.6893#-87.6204,42,2381,4714,41.687940000000005,41.6907,-87.62210999999999,-87.61859
