index,auc,auc_rnn,ratio,increase
1,0.8331,0.7346,1.1340865777293765,0.1340865777293765
2,0.9442,0.7251,1.3021652185905392,0.30216521859053924
3,0.8858,0.7304,1.2127601314348302,0.2127601314348302
4,0.9898,0.7594,1.303397419015012,0.30339741901501194
5,0.8539,0.7971,1.071258311378748,0.07125831137874794
6,0.8414,0.8282,1.015938179183772,0.01593817918377205
7,0.7718,0.8042,0.9597115145486198,-0.040288485451380196
8,0.9392,0.8438,1.1130599668167813,0.11305996681678132
9,0.8993,0.8249,1.0901927506364408,0.09019275063644083
10,0.9796,0.7556,1.2964531498147167,0.2964531498147167
11,0.8613,0.761,1.1318002628120893,0.13180026281208934
12,0.8275,0.7249,1.1415367636915437,0.14153676369154367
13,0.8112,0.6913,1.1734413423983798,0.17344134239837983
14,0.8584,0.7245,1.1848171152518978,0.1848171152518978
15,0.8139,0.7082,1.1492516238350747,0.14925162383507473
16,0.869,0.8091,1.0740328760351006,0.07403287603510056
17,0.8769,0.7843,1.118067066173658,0.11806706617365803
18,0.884,0.8186,1.0798924993892012,0.07989249938920118
19,0.8668,0.7869,1.1015376795018426,0.10153767950184256
20,0.7882,0.6833,1.1535196838870188,0.15351968388701875
21,0.828,0.7625,1.0859016393442622,0.0859016393442622
22,0.8117,0.6768,1.1993203309692673,0.19932033096926727
23,0.8425,0.7549,1.1160418598489867,0.11604185984898674
24,0.8011,0.8267,0.969033506713439,-0.03096649328656098
25,0.9524,0.4899,1.9440702184119207,0.9440702184119207
26,0.9898,0.557,1.7770197486535007,0.7770197486535007
27,0.8767,0.5223,1.6785372391345972,0.6785372391345972
28,0.9336,0.7142,1.3071968636236349,0.30719686362363485
29,0.9049,0.7542,1.1998143728453992,0.19981437284539916
30,0.8575,0.7976,1.0751003009027083,0.07510030090270825
31,0.8143,0.7799,1.0441082190024362,0.04410821900243622
32,0.8277,0.8588,0.9637866790870983,-0.03621332091290175
33,0.8402,0.792,1.0608585858585857,0.06085858585858572
34,0.8429,0.7413,1.1370565223256441,0.13705652232564414
35,0.922,0.565,1.6318584070796462,0.6318584070796462
36,0.8467,0.5505,1.5380563124432334,0.5380563124432334
37,0.806,0.7424,1.085668103448276,0.08566810344827602
38,0.9145,0.8031,1.1387124891047191,0.13871248910471912
39,0.86,0.7369,1.167051160265979,0.167051160265979
40,0.8163,0.6957,1.1733505821474774,0.17335058214747745
41,0.8714,0.8171,1.0664545343287235,0.0664545343287235
