index,auc,auc_rnn,ratio,increase
1,0.9749,0.5517,1.767083559905746,0.767083559905746
2,0.9149,0.4818,1.8989207139892073,0.8989207139892073
3,0.9057,0.6876,1.3171902268760907,0.31719022687609066
4,0.9524,0.7209,1.3211263698155085,0.32112636981550846
5,0.9898,0.7227,1.3695862736958628,0.36958627369586283
6,0.8767,0.74,1.18472972972973,0.1847297297297299
7,0.9527,0.5464,1.7435944363103952,0.7435944363103952
8,0.933,0.5756,1.6209173036831133,0.6209173036831133
9,0.9162,0.6746,1.3581381559442633,0.35813815594426335
10,0.9453,0.8,1.181625,0.18162499999999993
11,0.9744,0.7927,1.2292166014885835,0.22921660148858347
12,0.8709,0.7786,1.118546108399692,0.11854610839969193
13,0.9549,0.4848,1.969678217821782,0.969678217821782
14,0.9404,0.6055,1.5530966143682905,0.5530966143682905
15,0.893,0.8498,1.050835490703695,0.050835490703694974
16,0.9553,0.7651,1.2485949549078552,0.24859495490785521
17,0.9694,0.7645,1.2680183126226292,0.2680183126226292
18,0.8968,0.7442,1.2050524052674014,0.20505240526740143
19,0.9388,0.5148,1.8236208236208233,0.8236208236208233
20,0.9283,0.5043,1.8407693833035892,0.8407693833035892
21,0.9432,0.5101,1.849049206038032,0.8490492060380319
22,0.9027,0.6635,1.3605124340617936,0.36051243406179356
23,0.9789,0.6499,1.5062317279581474,0.5062317279581474
24,0.9201,0.7132,1.290100953449243,0.2901009534492429
25,0.9388,0.846,1.109692671394799,0.10969267139479899
26,0.9661,0.7809,1.2371622486874119,0.23716224868741187
27,0.8883,0.7118,1.2479629109300365,0.24796291093003653
28,0.9897,0.7414,1.3349069328297816,0.33490693282978157
29,0.9898,0.7273,1.3609239653512994,0.36092396535129945
30,0.8097,0.7302,1.108874281018899,0.10887428101889896
